1, 6000
1, -3785
2, -15185
3, -9185
4, -30865
5, -51935
6, -64210
1, 6000
2, 12000
3, 18000
4, 24000
1, 6000
1, 6000
1, 6000
1, 6000
2, 12000
3, 18000
4, 24000
5, 30000
6, -1024155
1, 6000
2, 12000
3, 18000
1, 6000
2, 12000
3, 5515
4, 9345
5, 10770
6, 11600
7, 5895
1, 6000
2, 440
3, -7655
4, -14645
5, -17410
6, -23340
7, -17340
8, -11340
1, 6000
2, 12000
3, 18000
4, 24000
5, -32145
1, 930
2, 4860
3, -25740
4, -50180
5, -66065
6, -65250
1, 195
1, 6000
2, 12000
3, 18000
4, 24000
5, 30000
6, 36000
7, 42000
8, 48000
9, 54000
10, 60000
1, 6000
2, 11720
3, 14740
4, 17970
5, 21200
1, 6000
1, 6000
2, 12000
3, 18000
1, 6000
2, -51095
3, -45095
1, 6000
2, 12000
3, 18000
4, -38635
1, 6000
2, 12000
3, -45010
1, 6000
2, 12000
3, 18000
4, -38520
1, 6000
2, 12000
3, 18000
4, -12300
1, -1380
2, -6765
3, -21320
4, -21805
5, -21300
6, -21145
7, -24595
1, 1825
2, -3625
3, 755
4, -19920
5, -15800
6, -11245
1, 1850
2, -2120
1, 6000
1, 1605
2, -2435
3, 8365
4, 3350
5, 2115
6, -1765
7, -3630
8, -7500
9, -4920
10, -3770
11, -6135
1, 1235
2, -3690
3, 3070
4, 4740
5, 6190
6, 3840
7, -7475
8, -3910
1, 1560
2, -3515
1, 2160
2, -1600
3, -5730
4, -6595
5, -10595
6, -11530
7, -12660
8, -12115
9, -8300
10, -6680
11, -4500
12, -3305
13, 110
14, -1205
15, -1240
16, -9640
17, -14050
18, -17385
19, -24305
20, -34885
21, -36670
22, -36525
23, -47635
24, -53300
25, -70040
26, -82160
27, -98650
28, -110280
29, -123060
30, -133525
31, -135645
32, -141750
33, -179000
34, -173905
35, -230175
36, -238675
37, -233840
38, -302145
1, 1875
2, 2045
3, -10100
4, -6685
5, -23945
6, -23680
7, -38810
1, 1870
1, 1815
2, -1870
3, -1660
1, 2220
2, -3170
3, -2490
4, -2965
5, -5860
1, 4705
2, 6090
3, 6450
4, 9680
5, 11060
6, 13895
7, 17105
8, 19495
9, 24415
10, 28295
11, 32475
12, 34335
13, 39395
14, 41295
15, 45125
16, 48090
17, 50185
18, 54365
19, 58500
20, 59750
21, 62935
22, 65145
23, 68220
24, 71415
25, 73655
26, 76745
27, 76855
28, 79885
29, 83630
30, 85720
31, 89850
32, 92970
33, 95110
34, 98230
35, 102340
36, 104700
37, 106010
38, 108960
39, 112765
40, 116845
41, 119910
42, 123930
43, 128010
44, 132065
45, 136170
46, 139380
47, 143380
48, 147440
49, 149225
50, 151545
51, 153885
52, 157445
53, 160880
54, 162960
55, 166130
56, 170190
57, 175225
58, 179285
59, 182330
60, 187360
61, 189505
62, 191360
63, 194160
64, 197095
65, 199425
66, 202540
67, 204145
68, 206965
69, 210680
70, 213460
71, 218300
72, 220220
73, 224270
74, 228030
75, 231040
76, 235875
77, 239635
78, 241670
79, 245065
80, 247390
81, 251475
82, 253470
83, 256730
84, 257475
85, 256215
86, 259695
87, 262230
88, 261670
89, 266175
90, 269795
91, 266380
92, 268785
93, 269290
94, 269295
95, 267535
96, 270200
97, 268120
98, 268135
99, 270255
100, 270225
101, 272215
102, 274850
103, 276840
104, 280350
105, 278250
106, 278175
1, -7045
2, -6650
3, -5805
4, -3810
5, -2950
6, -3770
7, -1180
8, -1470
9, -595
10, -28725
11, -55395
12, -86920
13, -87250
1, -5175
1, -15830
1, -5780
2, -11000
3, -25660
1, -4255
2, -29355
1, -11770
2, -18305
3, -28385
1, -314875
1, -19085
2, -33100
1, -14860
2, -36945
3, -91775
1, -5940
2, -19195
1, -19195
2, -41355
3, -66525
1, -15395
2, -40055
3, -42880
1, -6750
2, -17070
1, -1920
2, -18015
3, -27650
4, -44875
5, -48790
6, -66725
7, -66840
8, -85360
9, -89870
10, -93955
11, -100880
12, -103145
13, -100575
14, -133820
1, -2660
1, -6025
1, -2670
1, -900
1, 2205
1, -4755
1, 4880
1, -1830
1, 1775
1, -2805
1, -6170
1, -675
1, 1945
1, 5530
2, 8410
1, -2570
1, -5470
1, -1115
1, -4715
2, -2955
1, 1920
2, 615
1, 720
1, -6325
2, -7740
3, -4385
4, -7060
1, -330
1, 1875
2, -110
3, 2210
1, 1515
2, 630
3, -212545
1, -7155
2, -325360
1, -3335
2, -4600
3, -4560
4, -3695
5, -8120
6, -7170
7, -2955
8, -1600
9, 3680
10, 205
11, 6010
12, 5530
13, 6280
14, 12280
15, 13950
16, 11760
17, 13570
18, 12960
19, 14415
20, 16425
21, 10435
22, 12670
23, 18555
24, 23525
25, 25325
26, 30825
27, 29360
1, -3195
1, 1115
1, 370
2, -2330
3, -1615
4, -6770
5, -7630
6, -5445
7, -605
8, 1645
9, 5075
10, 7170
11, 7895
12, 9710
13, 13805
14, 19805
15, 20050
16, 19630
17, 21530
18, 27030
1, 1450
2, 3145
3, 9145
4, 9560
5, 12525
6, 15230
7, 21230
8, 24000
9, 30000
10, 30735
11, 36735
1, 2565
1, -1940
2, 835
3, 6835
4, 9055
5, 11205
6, 13205
7, 19205
8, 21360
9, 27360
10, 30070
11, 36070
12, 38010
13, 44010
1, 2235
2, 4720
3, 10720
4, 11735
1, -1830
1, 2060
2, 2710
1, -355
1, 1905
2, 4235
3, 10235
4, 11130
5, 14200
6, 16350
1, 5580
2, 3720
3, 6285
4, 6450
5, 3405
6, 6320
1, 605
2, -1770
3, -2555
4, -7620
1, 1855
2, 15
3, -70
4, 1400
5, 4275
6, 5795
7, 11795
8, 14260
9, 18175
10, 20595
11, 20715
12, 23200
13, 27340
14, 33340
15, 34155
16, 33570
17, 35605
18, 41090
19, 42090
20, 41745
21, 37975
22, 42275
23, 48275
24, 45530
25, 48080
26, 51550
27, 52275
28, 54555
29, 59565
30, 58435
31, 64075
32, 66880
33, 68035
34, 69100
35, 71320
36, 77305
37, 77775
38, 72730
39, 74320
40, 76230
41, 77970
42, 79910
43, 80160
44, 81495
1, 545
2, 405
3, 3040
4, 7705
5, 11835
1, -110
2, -1615
3, -2405
4, -3925
1, 3405
2, 2035
3, 1780
4, 6615
5, 9925
6, 14975
7, 20475
8, 25500
9, 24695
